Date,Open,High,Low,Close
09/22/2023,"1,586.76","1,601.89","1,578.97","1,591.06"
09/21/2023,"1,624.13","1,629.32","1,568.91","1,588.24"
09/20/2023,"1,642.62","1,649.28","1,607.55","1,623.35"
09/19/2023,"1,638.01","1,659.86","1,627.67","1,642.87"
09/18/2023,"1,616.40","1,669.01","1,609.92","1,638.02"
09/17/2023,"1,635.44","1,638.21","1,615.31","1,617.37"
09/16/2023,"1,621.90","1,651.97","1,621.90","1,635.44"
09/15/2023,"1,626.52","1,636.09","1,612.62","1,621.50"
09/14/2023,"1,604.01","1,639.83","1,603.23","1,628.99"
09/13/2023,"1,597.61","1,610.15","1,582.00","1,604.73"
09/12/2023,"1,541.43","1,617.74","1,538.90","1,599.23"
09/11/2023,"1,618.62","1,627.00","1,532.00","1,540.25"
09/10/2023,"1,633.73","1,636.68","1,603.89","1,619.14"
09/09/2023,"1,636.28","1,637.92","1,629.73","1,633.73"
09/08/2023,"1,639.00","1,657.78","1,617.35","1,636.05"
09/07/2023,"1,628.00","1,640.82","1,623.08","1,638.72"
09/06/2023,"1,629.23","1,657.18","1,612.10","1,628.00"
09/05/2023,"1,627.90","1,645.50","1,609.63","1,629.31"
09/04/2023,"1,642.73","1,645.39","1,620.53","1,627.10"
09/03/2023,"1,634.30","1,645.36","1,625.25","1,642.73"
09/02/2023,"1,628.00","1,644.46","1,624.72","1,634.45"
09/01/2023,"1,648.08","1,654.00","1,603.23","1,629.34"
08/31/2023,"1,704.11","1,720.08","1,646.51","1,647.42"
08/30/2023,"1,727.26","1,734.73","1,696.46","1,703.25"
08/29/2023,"1,645.84","1,747.20","1,639.14","1,727.69"
08/28/2023,"1,653.31","1,662.82","1,624.75","1,645.84"
08/27/2023,"1,646.67","1,659.25","1,645.05","1,653.31"
08/26/2023,"1,649.25","1,654.73","1,643.24","1,646.92"
08/25/2023,"1,648.30","1,673.02","1,635.29","1,649.52"
08/24/2023,"1,684.14","1,684.92","1,638.01","1,648.30"
08/23/2023,"1,630.60","1,696.98","1,590.61","1,684.34"
